_time,hostname,process,pid,message,user,file,severity,action,command,source_ip,service
2025-07-28 15:38:15,h-VMware-Virtual-Platform,gnome-shell,2982.0,Window manager warning: Buggy client sent a _NET_ACTIVE_WINDOW message with a timestamp of 0 for 0x3800004,,,warning,,,,
2025-07-28 15:38:17,h-VMware-Virtual-Platform,gnome-shell,2982.0,Window manager warning: Buggy client sent a _NET_ACTIVE_WINDOW message with a timestamp of 0 for 0x380001d,,,warning,,,,
2025-07-28 15:39:42,h-VMware-Virtual-Platform,NetworkManager,1162.0,"<info>  [1753704582.8291] dhcp4 (ens33): state changed new lease, address=192.168.163.136",,,,,,,
2025-07-28 15:39:42,h-VMware-Virtual-Platform,dbus-daemon,1021.0,"[system] Activating via systemd: service name='org.freedesktop.nm_dispatcher' unit='dbus-org.freedesktop.nm-dispatcher.service' requested by ':1.10' (uid=0 pid=1162 comm=""/usr/sbin/NetworkManager --no-daemon"" label=""unconfined"")",,/usr/sbin/NetworkManager,,,,,
2025-07-28 15:39:42,h-VMware-Virtual-Platform,systemd,1.0,Starting NetworkManager-dispatcher.service - Network Manager Script Dispatcher Service...,,,,,,,
2025-07-28 15:39:42,h-VMware-Virtual-Platform,dbus-daemon,1021.0,[system] Successfully activated service 'org.freedesktop.nm_dispatcher',,,,,,,
2025-07-28 15:39:42,h-VMware-Virtual-Platform,systemd,1.0,Started NetworkManager-dispatcher.service - Network Manager Script Dispatcher Service.,,,,Started,,,
2025-07-28 15:39:52,h-VMware-Virtual-Platform,systemd,1.0,NetworkManager-dispatcher.service: Deactivated successfully.,,,,,,,
2025-07-28 15:40:18,h-VMware-Virtual-Platform,systemd,1.0,Starting fwupd-refresh.service - Refresh fwupd metadata and update motd...,,,,,,,
2025-07-28 15:40:18,h-VMware-Virtual-Platform,systemd,1.0,Starting sysstat-collect.service - system activity accounting tool...,,,,,,,
2025-07-28 15:40:18,h-VMware-Virtual-Platform,systemd,1.0,sysstat-collect.service: Deactivated successfully.,,,,,,,
2025-07-28 15:40:18,h-VMware-Virtual-Platform,systemd,1.0,Finished sysstat-collect.service - system activity accounting tool.,,,,Finished,,,
2025-07-28 15:40:19,h-VMware-Virtual-Platform,fwupdmgr,12652.0,Updating lvfs,,,,,,,
2025-07-28 15:40:21,h-VMware-Virtual-Platform,fwupdmgr,12652.0,Successfully downloaded new metadata: 0 local devices supported,,,,,,,
2025-07-28 15:40:21,h-VMware-Virtual-Platform,systemd,1.0,fwupd-refresh.service: Deactivated successfully.,,,,,,,
2025-07-28 15:40:21,h-VMware-Virtual-Platform,systemd,1.0,Finished fwupd-refresh.service - Refresh fwupd metadata and update motd.,,,,Finished,,,
2025-07-28 15:43:32,h-VMware-Virtual-Platform,tracker-miner-fs-3,12826.0,"(tracker-extract-3:12826): GLib-GIO-WARNING **: 15:43:32.099: Error creating IO channel for /proc/self/mountinfo: Invalid argument (g-io-error-quark, 13)",,/proc/self/mountinfo:,error,,,,
2025-07-28 15:45:01,h-VMware-Virtual-Platform,CRON,13060.0,pam_unix(cron:session): session opened for user root(uid=0) by root(uid=0),,,,,,,
2025-07-28 15:45:01,h-VMware-Virtual-Platform,CRON,13061.0,(root) CMD (command -v debian-sa1 > /dev/null && debian-sa1 1 1),,/dev/null,,,,,
2025-07-28 15:45:01,h-VMware-Virtual-Platform,CRON,13060.0,pam_unix(cron:session): session closed for user root,,,,,,,
2025-07-28 15:45:33,h-VMware-Virtual-Platform,tracker-miner-fs-3,13070.0,"(tracker-extract-3:13070): GLib-GIO-WARNING **: 15:45:33.362: Error creating IO channel for /proc/self/mountinfo: Invalid argument (g-io-error-quark, 13)",,/proc/self/mountinfo:,error,,,,
2025-07-28 15:46:01,h-VMware-Virtual-Platform,sudo,13140.0,h : TTY=pts/1 ; PWD=/home/h/research ; USER=root ; COMMAND=./export_logs.sh,,/1,,,,,
2025-07-28 15:46:01,h-VMware-Virtual-Platform,sudo,13140.0,pam_unix(sudo:session): session opened for user root(uid=0) by h(uid=1000),,,,,,,
2025-07-28 15:46:17,h-VMware-Virtual-Platform,sudo,13140.0,pam_unix(sudo:session): session closed for user root,,,,,,,
2025-07-28 15:46:47,h-VMware-Virtual-Platform,sudo,13236.0,h : TTY=pts/1 ; PWD=/home/h/research ; USER=root ; COMMAND=./export_logs.sh,,/1,,,,,
2025-07-28 15:46:47,h-VMware-Virtual-Platform,sudo,13236.0,pam_unix(sudo:session): session opened for user root(uid=0) by h(uid=1000),,,,,,,
2025-07-28 15:47:01,h-VMware-Virtual-Platform,kernel,,"workqueue: blk_mq_run_work_fn hogged CPU for >10000us 35 times, consider switching to WQ_UNBOUND",,,,,,,
2025-07-28 15:47:03,h-VMware-Virtual-Platform,sudo,13236.0,pam_unix(sudo:session): session closed for user root,,,,,,,
2025-07-28 15:47:14,h-VMware-Virtual-Platform,sudo,13323.0,h : TTY=pts/1 ; PWD=/home/h/research ; USER=root ; COMMAND=./export_logs.sh,,/1,,,,,
2025-07-28 15:47:14,h-VMware-Virtual-Platform,sudo,13323.0,pam_unix(sudo:session): session opened for user root(uid=0) by h(uid=1000),,,,,,,
2025-07-28 15:48:39,h-VMware-Virtual-Platform,sudo,13323.0,pam_unix(sudo:session): session closed for user root,,,,,,,
2025-07-28 15:50:19,h-VMware-Virtual-Platform,systemd,1.0,Starting sysstat-collect.service - system activity accounting tool...,,,,,,,
2025-07-28 15:50:19,h-VMware-Virtual-Platform,systemd,1.0,sysstat-collect.service: Deactivated successfully.,,,,,,,
2025-07-28 15:50:19,h-VMware-Virtual-Platform,systemd,1.0,Finished sysstat-collect.service - system activity accounting tool.,,,,Finished,,,
